"ID","Title","StatisticalMeasurementUnitID","CustomsTariffEnglishCalculationReference","PurchaseTaxOptionalTaxAddition","EnglishGoodsDescription","PurchaseTaxCalculationReference","CustomsTariffCalculationReference","StatisticalMeasurementUnitName","CustomsItemID","GoodsDescription","EnglishFullTitle","PurchaseTaxEnglishCalculationReference","FullTitle","StatisticalMeasurementUnitEnglishName","FullClassification"
"171","טוחן אשפה","1","","","---OTHERS","פטור","פטור","כל אחד","3188","אחרים"," =>  => garbage shredder","Tax Free","חשמל ואלקטרוניקה => מוצרים למטבח => טוחן אשפה","Each","8509809000/5"
"433","גבינות קשות","","","","---OTHERS","","","","3337","אחרים:-
"," =>  => Hard cheeses","","מזון ומשקאות => חלב, ביצים ומעדנים => גבינות קשות","","0406909000"
"601","מד טווח לייזר","1","Tax Free","","-:-LEVELS","פטור","פטור","כל אחד","3436","פלסים"," =>  => Laser Rangefinder","Tax Free","חשמל ואלקטרוניקה => מכשירי שקילה => מד טווח לייזר","Each","9015300000/6"
"101","שמפו","6","","","-SHAMPOOS","פטור","פטור","קילוגרם","3690","שמפו"," =>  => ","Tax Free","אופנה וטיפוח => מוצרי היגיינה וטואלטיקה => שמפו","Kilogram","3305100000/9"
"166","מכונת גילוח","1","Tax Free","","-SHAVERS","פטור","פטור","כל אחד","3722","מכונות גילוח"," =>  => Shaver","Tax Free","חשמל ואלקטרוניקה => מוצרי טיפוח ועיצוב => מכונת גילוח","Each","8510100000/9"
"164","מכונות גילוח","1","Tax Free","","-SHAVERS","פטור","פטור","כל אחד","3722","מכונות גילוח","","Tax Free","מכונות גילוח","Each","8510100000/9"
"238","אביזרים לרחפן","1","","","-Television cameras, digital cameras and video camera recorders","","","כל אחד","3810","מצלמות טלוויזיה, מצלמות ספרתיות (DIGITAL CAMERAS) ומצלמות וידאו מקליטות (VIDEO CAMERA RECORDERS):-
","Skimmer accessories","","אביזרים לרחפן","Each","8525800000"
"294","דיבוריות","1","Tax Free","","---SPECIALLY FOR TELEPHONE COMMUNICATION","פטור","פטור","כל אחד","3847","המיוחדות לקשר טלפוני"," =>  => Handsfree","Tax Free","כלי רכב ואביזרים => אבזור לכלי רכב => דיבוריות","Each","8518504000/4"
"250","פילטר לעדשות","1","Tax Free","","---OTHERS","פטור","פטור","כל אחד","3978","אחרים"," =>  => ","Tax Free","חשמל ואלקטרוניקה => מצלמות וציוד צילום => פילטר לעדשות","Each","9013809000/7"
"504","הליכונים","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Walkers","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => הליכונים","Kilogram","9506919000/7"
"505","מולטי טריינרים","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Multi Trainers","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => מולטי טריינרים","Kilogram","9506919000/7"
"506","מכשירי אימון ברטט","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Vibration training devices","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => מכשירי אימון ברטט","Kilogram","9506919000/7"
"507","מכשירים לאימון בטן","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Abdominal training devices","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => מכשירים לאימון בטן","Kilogram","9506919000/7"
"508","סטפרים","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Staphors","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => סטפרים","Kilogram","9506919000/7"
"509","ספות כושר","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Fitness sofas","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => ספות כושר","Kilogram","9506919000/7"
"514","שקי איגרוף","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Boxing bags","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => שקי איגרוף","Kilogram","9506919000/7"
"492","טרמפולינות","6","","","---OTHERS","פטור","פטור","קילוגרם","4084","אחרים"," =>  => Trampolines","Tax Free","צעצועים, תחביבים ופנאי => משחקים לחצר => טרמפולינות","Kilogram","9506919000/7"
"503","אופני כושר","6","Tax Free","","---STATIC INSTRUMENTS FOR EXERCISING THE MUSCLES OF LIMBS BY MEANS OF ROTATING PEDALS","פטור","פטור","קילוגרם","4148","מכשירים נייחים לאימון שרירי הגפיים באמצעות דוושות סובבות"," =>  => Fitness bike","Tax Free","צעצועים, תחביבים ופנאי => ציוד ספורט וכושר => אופני כושר","Kilogram","9506911000/5"
"331","מכונות ומכשירים חשמליים בעלי פונקציות עצמאיות מהסוג המשמש ברכב","1","","60.000","Others
","שיעור 12.00% ","פטור","כל אחד","4184","אחרים"," =>  => Electric machines and appliances with independent functions of the type used in the vehicle","12.00% ","כלי רכב ואביזרים => חלפים וציוד היקפי => מכונות ומכשירים חשמליים בעלי פונקציות עצמאיות מהסוג המשמש ברכב","Each","8543703900/2"
"604","כסף מזומן","6","Tax Free","","-UNUSED POSTAGE, REVENUE OR SIMILAR STAMPS OF CURRENT OR NEW ISSUE IN THE ;COUNTRY TO WHICH THEY ARE DESTINED; STAMP-IMPRESSED PAPER; BANKNOTES CHEQUE FORMS; STOCK, SHARE OR BOND CERTIFICATES AND SIMILAR DOCUMENTS OF .TITLE","פטור","פטור","קילוגרם","4334","בולי דואר, בולי הכנסה או בולים דומים, בלתי משומשים, מסדרות
שבמחזור או מסדרות חדשות לשימוש בארץ שבה הם בעלי ערך נקוב מוכר או
שיהיו בעלי ערך כאמור; נייר שהוטבעו עליו בולים; שטרי כסף; טופסי
המחאות; מניות או אגרות חוב ותעודות בעלות דומות"," =>  => cash","Tax Free","צעצועים, תחביבים ופנאי => אומנות ומלאכה => כסף מזומן","Kilogram","4907000000/2"
